defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,year
1,95,Cosmetic,2019-01-01,Component,Minor,Visual Inspection,658.47,2024
2,44,Cosmetic,2019-01-01,Surface,Minor,Visual Inspection,74.81,2024
3,100,Functional,2019-01-02,Surface,Moderate,Manual Testing,617.36,2024
4,88,Functional,2019-01-02,Component,Moderate,Visual Inspection,834.57,2024
5,7,Structural,2019-01-02,Internal,Critical,Visual Inspection,132.46,2024
6,41,Functional,2019-01-02,Internal,Minor,Manual Testing,477.42,2024
7,100,Structural,2019-01-02,Internal,Minor,Manual Testing,722.21,2024
8,13,Structural,2019-01-03,Surface,Critical,Manual Testing,952.49,2024
9,97,Structural,2019-01-03,Component,Moderate,Automated Testing,773.47,2024
10,56,Cosmetic,2019-01-03,Component,Minor,Automated Testing,615.43,2024
11,79,Structural,2019-01-04,Internal,Critical,Visual Inspection,973.66,2024
12,46,Structural,2019-01-04,Surface,Critical,Visual Inspection,160.08,2024
13,77,Structural,2019-01-04,Internal,Moderate,Automated Testing,661.8,2024
14,87,Functional,2019-01-04,Surface,Minor,Automated Testing,512.02,2024
15,76,Structural,2019-01-04,Component,Minor,Visual Inspection,73.55,2024
16,6,Cosmetic,2019-01-05,Surface,Minor,Manual Testing,810.57,2024
17,86,Cosmetic,2019-01-05,Internal,Critical,Visual Inspection,683.68,2024
18,32,Structural,2019-01-05,Internal,Minor,Automated Testing,883.92,2024
19,29,Structural,2019-01-05,Internal,Critical,Automated Testing,396.58,2024
20,74,Functional,2019-01-05,Component,Critical,Automated Testing,891.94,2024
21,44,Structural,2019-01-05,Internal,Minor,Automated Testing,630.5,2024
22,9,Functional,2019-01-06,Internal,Critical,Visual Inspection,161.41,2024
23,56,Cosmetic,2019-01-06,Surface,Minor,Visual Inspection,357.56,2024
24,21,Functional,2019-01-06,Component,Critical,Automated Testing,121.29,2024
25,37,Cosmetic,2019-01-06,Surface,Critical,Automated Testing,433.02,2024
26,58,Cosmetic,2019-01-07,Surface,Critical,Visual Inspection,760.33,2024
27,30,Functional,2019-01-07,Surface,Minor,Visual Inspection,104.54,2024
28,6,Structural,2019-01-07,Surface,Critical,Manual Testing,53.77,2024
29,98,Functional,2019-01-08,Internal,Critical,Automated Testing,770.66,2024
30,6,Cosmetic,2019-01-08,Surface,Minor,Manual Testing,810.57,2024
31,33,Structural,2019-01-08,Surface,Critical,Automated Testing,376.62,2024
32,72,Structural,2019-01-09,Surface,Minor,Automated Testing,212.86,2024
33,90,Functional,2019-01-09,Surface,Moderate,Manual Testing,400.31,2024
34,30,Functional,2019-01-09,Component,Minor,Visual Inspection,728.39,2024
35,9,Functional,2019-01-09,Component,Moderate,Manual Testing,572.08,2024
36,30,Structural,2019-01-10,Surface,Critical,Automated Testing,352.58,2024
37,42,Structural,2019-01-10,Component,Minor,Visual Inspection,663.53,2024
38,33,Structural,2019-01-10,Surface,Moderate,Automated Testing,349.23,2024
39,87,Cosmetic,2019-01-10,Internal,Minor,Manual Testing,133.9,2024
40,7,Functional,2019-01-10,Surface,Moderate,Visual Inspection,93.31,2024
41,44,Structural,2019-01-10,Surface,Minor,Visual Inspection,182.54,2024
42,82,Cosmetic,2019-01-10,Component,Minor,Automated Testing,752.8,2024
43,98,Cosmetic,2019-01-11,Surface,Moderate,Visual Inspection,498.71,2024
44,77,Functional,2019-01-11,Component,Critical,Visual Inspection,395.56,2024
45,45,Functional,2019-01-11,Component,Minor,Visual Inspection,515.07,2024
46,28,Structural,2019-01-11,Component,Critical,Visual Inspection,170.66,2024
47,63,Cosmetic,2019-01-11,Surface,Moderate,Visual Inspection,861.84,2024
48,1,Structural,2019-01-11,Surface,Minor,Manual Testing,338.48,2024
49,22,Functional,2019-01-12,Internal,Critical,Manual Testing,996.6,2024
50,46,Functional,2019-01-12,Component,Moderate,Visual Inspection,278.6,2024
51,12,Cosmetic,2019-01-12,Internal,Moderate,Automated Testing,765.19,2024
52,84,Functional,2019-01-12,Surface,Critical,Manual Testing,628.29,2024
53,81,Structural,2019-01-12,Component,Moderate,Manual Testing,734.65,2024
54,23,Structural,2019-01-12,Surface,Moderate,Automated Testing,704.06,2024
55,50,Cosmetic,2019-01-13,Component,Moderate,Automated Testing,438.29,2024
56,75,Cosmetic,2019-01-13,Internal,Minor,Manual Testing,843.66,2024
57,58,Functional,2019-01-13,Component,Critical,Manual Testing,702.09,2024
58,75,Cosmetic,2019-01-13,Internal,Minor,Manual Testing,843.66,2024
59,51,Functional,2019-01-13,Component,Critical,Manual Testing,989.81,2024
60,92,Structural,2019-01-13,Surface,Minor,Visual Inspection,411.9,2024
61,6,Structural,2019-01-13,Surface,Minor,Visual Inspection,504.9,2024
62,66,Structural,2019-01-14,Component,Minor,Visual Inspection,668.05,2024
63,49,Structural,2019-01-14,Internal,Minor,Automated Testing,901.01,2024
64,24,Functional,2019-01-15,Component,Minor,Automated Testing,285.85,2024
65,92,Cosmetic,2019-01-15,Surface,Moderate,Automated Testing,44.73,2024
66,36,Functional,2019-01-15,Internal,Critical,Manual Testing,297.76,2024
67,10,Structural,2019-01-15,Component,Minor,Visual Inspection,935.64,2024
68,48,Structural,2019-01-15,Component,Moderate,Visual Inspection,436.9,2024
69,1,Functional,2019-01-15,Surface,Critical,Visual Inspection,404.22,2024
70,49,Functional,2019-01-16,Surface,Critical,Automated Testing,144.38,2024
71,4,Cosmetic,2019-01-16,Internal,Critical,Automated Testing,449.63,2024
72,13,Cosmetic,2019-01-16,Surface,Minor,Manual Testing,303.08,2024
73,46,Cosmetic,2019-01-16,Surface,Moderate,Manual Testing,672.89,2024
74,90,Structural,2019-01-17,Surface,Minor,Manual Testing,290.23,2024
75,88,Structural,2019-01-17,Internal,Critical,Automated Testing,825.57,2024
76,97,Structural,2019-01-17,Component,Moderate,Automated Testing,773.47,2024
77,14,Functional,2019-01-18,Internal,Moderate,Visual Inspection,517.63,2024
78,93,Structural,2019-01-18,Internal,Minor,Visual Inspection,96.04,2024
79,76,Cosmetic,2019-01-18,Internal,Moderate,Automated Testing,481.7,2024
80,10,Functional,2019-01-18,Component,Minor,Automated Testing,458.79,2024
81,31,Functional,2019-01-19,Component,Moderate,Manual Testing,156.46,2024
82,18,Structural,2019-01-19,Component,Minor,Manual Testing,65.23,2024
83,44,Structural,2019-01-19,Surface,Minor,Visual Inspection,182.54,2024
