"name","sex","country"
"Alex Summers","M","England"
"Alison O'Reilly","F","Ireland"
"Allan Grenier","M","France"
"Amélie Mierger","F","France"
"Andréa Bonetto","M","France"
"Anja Schreiner","F","Germany"
"Ankie Timmers","F","Netherlands"
"Anna Sørlie Heranger","F","Norway"
"Antoine Garcia","M","France"
"Antoni Mastrolorenzo","M","France"
"Asgeir Hoel","M","Norway"
"Beate Normann-Escher","F","Germany"
"Benedict Grant","M","England"
"Bernie McGurk","M","UK"
"Carl Petter Sommerseth","M","Norway"
"Cathrin Monika Silberzahn","F","Germany"
"Christie Civetta","F","England"
"Christoph Seefeld","M","Germany"
"Christopher Diete","M","Germany"
"Clara Peyraud","F","France"
"Daniel Andersen Nilsen","M","Norway"
"Dominik Pahl","M","Germany"
"Dylan Nelson #1","M","England"
"Eline Skalleberg Jørgensen","F","Norway"
"Ellie Steel","F","England"
"Eloïse Bastien","F","France"
"Emily Finnern","F","Germany"
"Emma Goodwin","F","England"
"Ethan Moore #1","M","England"
"Frank Barthel","M","Germany"
"Grégory Ostyn","M","Belgium"
"Gregory Pearson","M","England"
"Gustav Waidmann","M","Germany"
"Gwen Marsden","F","England"
"Hassan El Belghiti","M","France"
"Heidi Hille Arnesen","F","Norway"
"Henrik Hagen","M","Norway"
"Hermann Charbonnier","M","France"
"Hilde Mikkelsen Haugen","F","Norway"
"Hildeborg Juvet Hugdal","F","Norway"
"Holly Bryans","F","England"
"Ielja Strik","F","Netherlands"
"Ingvild Hansen","F","Norway"
"Ishtyaq Nabi","M","England"
"Jack Thornton","M","Ireland"
"Jade Jacob","F","France"
"Jenny Marie Johansen","F","Norway"
"Jeroen Van Heesvelde","M","Belgium"
"Jessie Lee","F","England"
"Jordi Snijders","M","Netherlands"
"Joshua Wright #1","M","Germany"
"Joy Nnamani","F","England"
"Juliane Slettnes","F","Norway"
"Julie Fosseide","F","Norway"
"Julien Gutierrez","M","France"
"Jurins Kengamu","M","England"
"Karen Hesthammer","F","Norway"
"Karolina Moszynska","F","Germany"
"Kate Sweatman","F","England"
"Katja Broxtermann","F","Germany"
"Kemal Ergin","M","Netherlands"
"Kibria Ali","M","England"
"Killian Valette","M","France"
"Kim-Raino Rølvåg","M","Norway"
"Kim Ricarda Frerichs","F","Germany"
"Kimberley Cowell","F","England"
"Kirsty McConachie","F","Ireland"
"Kjell Egil Bakkelund","M","Norway"
"Klaus Griesch","M","Germany"
"Knut Einar Skår","M","Norway"
"Kristoffer Skadsem Eikeland","M","Norway"
"Lars Engø-Monsen","M","Norway"
"Laura Mautalen","F","France"
"Lena Sjøl","F","Norway"
"Leonard Lai","M","England"
"Lesley Shinnick","F","Ireland"
"Ludvik Moen","M","Norway"
"Maeve Cummins","F","Ireland"
"Manuel Gonnermann","M","Germany"
"Marcel Vitz","M","Germany"
"Marco Schmid-Gursky","M","Germany"
"Marie Hauschild","F","Germany"
"Marte Elverum","F","Norway"
"Marthe Tjelta","F","Norway"
"Martin Lange","M","Germany"
"Max Lochschmidt","M","Germany"
"Morgan Gladden","F","UK"
"Moritz Taschner","M","Germany"
"Nick Blockmans","M","Belgium"
"Nikola Murray","F","Scotland"
"Nikolai Slettnes","M","Norway"
"Noémie Allabert","F","France"
"Panagiotis Tarinidis","M","France"
"Paul Rembauville","M","France"
"Phil Richard","M","England"
"Philipp Schweda","M","Germany"
"Pleun Dekkers","F","Netherlands"
"Prescillia Bavoil","F","France"
"Ray Bowring","M","England"
"Rob Palmer","M","England"
"Robert Palmer #2","M","England"
"Ronny Kreitl","M","Germany"
"Sascha Stendebach","M","Germany"
"Shaan Vijay","M","England"
"Shizuka Rico","F","France"
"Sofiane Belkesir","M","France"
"Sonita Muluh","F","Belgium"
"Sonja Stefanie Krüger","F","Germany"
"Stéphanie Legard","F","France"
"Tabea Wiedenhofer","F","Germany"
"Teanna Watts","F","Ireland"
"Thomas Acher","M","France"
"Tiffany Chapon","F","France"
"Tiffany Pilnikova","F","England"
"Tobias Zinserling","M","Germany"
"Tony Cliffe","M","England"
"Valérie von Gleichen","F","Germany"
"Vincent Curth","M","Germany"
"Yanis Bouchou","M","France"
