"dayscompeting","total","percentage"
0,"195270","0.51776528610065227767"
1,"181","0.00047992787824150183"
2,"173","0.00045871559633027523"
3,"31","0.000082197592406003075781"
4,"30","0.000079546057167099750756"
5,"15","0.000039773028583549875378"
6,"58","0.00015378904385639285"
7,"108","0.00028636580580155910"
8,"38","0.00010075833907832635"
9,"16","0.000042424563822453200403"
10,"11","0.000029166887627936575277"
11,"51","0.00013522829718406958"
12,"30","0.000079546057167099750756"
13,"112","0.00029697194675717240"
14,"209","0.00055417086493079493"
15,"61","0.00016174364957310283"
16,"33","0.000087500662883809725831"
17,"22","0.000058333775255873150554"
18,"53","0.00014053136766187623"
19,"57","0.00015113750861748953"
20,"145","0.00038447260964098213"
21,"368","0.00097576496791642361"
22,"106","0.00028106273532375245"
23,"17","0.000045076099061356525428"
24,"28","0.000074242986689293100705"
25,"42","0.00011136448003393965"
26,"83","0.00022007742482897598"
27,"173","0.00045871559633027523"
28,"549","0.00145569284615792544"
29,"134","0.00035530572201304555"
30,"73","0.00019356207243994273"
31,"85","0.00022538049530678263"
32,"59","0.00015644057909529618"
33,"110","0.00029166887627936575"
34,"228","0.00060455003446995811"
35,"645","0.00171024022909264464"
36,"127","0.00033674497534072228"
37,"44","0.00011666755051174630"
38,"29","0.000076894521928196425730"
39,"37","0.000098106803839423025932"
40,"87","0.00023068356578458928"
41,"200","0.00053030704778066501"
42,"562","0.00149016280426366866"
43,"129","0.00034204804581852893"
44,"55","0.00014583443813968288"
45,"33","0.000087500662883809725831"
46,"55","0.00014583443813968288"
47,"195","0.00051704937158614838"
48,"255","0.00067614148592034788"
49,"549","0.00145569284615792544"
50,"160","0.00042424563822453200"
51,"42","0.00011136448003393965"
52,"32","0.000084849127644906400806"
53,"74","0.00019621360767884605"
54,"139","0.00036856339820756218"
55,"259","0.00068674762687596118"
56,"707","0.00187463541390465079"
57,"205","0.00054356472397518163"
58,"71","0.00018825900196213608"
59,"25","0.000066288380972583125630"
60,"35","0.000092803733361616375882"
61,"127","0.00033674497534072228"
62,"232","0.00061515617542557141"
63,"576","0.00152728429760831521"
64,"146","0.00038712414487988545"
65,"40","0.00010606140955613300"
66,"25","0.000066288380972583125630"
67,"58","0.00015378904385639285"
68,"96","0.00025454738293471920"
69,"291","0.00077159675452086758"
70,"653","0.00173145251100387124"
71,"144","0.00038182107440207880"
72,"40","0.00010606140955613300"
73,"40","0.00010606140955613300"
74,"38","0.00010075833907832635"
75,"87","0.00023068356578458928"
76,"257","0.00068144455639815453"
77,"750","0.00198865142917749377"
78,"166","0.00044015484965795195"
79,"31","0.000082197592406003075781"
80,"45","0.00011931908575064963"
81,"41","0.00010871294479503633"
82,"150","0.00039773028583549875"
83,"190","0.00050379169539163175"
84,"610","0.00161743649573102827"
85,"183","0.00048523094871930848"
86,"48","0.00012727369146735960"
87,"44","0.00011666755051174630"
88,"30","0.000079546057167099750756"
89,"118","0.00031288115819059235"
90,"210","0.00055682240016969826"
91,"786","0.00208410669777801347"
92,"204","0.00054091318873627831"
93,"46","0.00012197062098955295"
94,"38","0.00010075833907832635"
95,"54","0.00014318290290077955"
96,"48","0.00012727369146735960"
97,"255","0.00067614148592034788"
98,"789","0.00209206130349472344"
99,"172","0.00045606406109137190"
100,"46","0.00012197062098955295"
101,"32","0.000084849127644906400806"
102,"44","0.00011666755051174630"
103,"61","0.00016174364957310283"
104,"185","0.00049053401919711513"
105,"760","0.00201516678156652702"
106,"133","0.00035265418677414223"
107,"46","0.00012197062098955295"
108,"28","0.000074242986689293100705"
109,"62","0.00016439518481200615"
110,"89","0.00023598663626239593"
111,"176","0.00046667020204698520"
112,"634","0.00168107334146470807"
113,"187","0.00049583708967492178"
114,"70","0.00018560746672323275"
115,"31","0.000082197592406003075781"
116,"36","0.000095455268600519700907"
117,"88","0.00023333510102349260"
118,"216","0.00057273161160311821"
119,"728","0.00193031765392162062"
120,"156","0.00041363949726891870"
121,"49","0.00012992522670626293"
122,"62","0.00016439518481200615"
123,"25","0.000066288380972583125630"
124,"92","0.00024394124197910590"
125,"271","0.00071856604974280108"
126,"698","0.00185077159675452087"
127,"191","0.00050644323063053508"
128,"56","0.00014848597337858620"
129,"28","0.000074242986689293100705"
130,"42","0.00011136448003393965"
131,"119","0.00031553269342949568"
132,"235","0.00062311078114228138"
133,"687","0.00182160470912658429"
134,"161","0.00042689717346343533"
135,"52","0.00013787983242297290"
136,"28","0.000074242986689293100705"
137,"62","0.00016439518481200615"
138,"102","0.00027045659436813915"
139,"262","0.00069470223259267116"
140,"664","0.00176061939863180782"
141,"152","0.00040303335631330540"
142,"73","0.00019356207243994273"
143,"42","0.00011136448003393965"
144,"38","0.00010075833907832635"
145,"84","0.00022272896006787930"
146,"238","0.00063106538685899136"
147,"755","0.00200190910537201039"
148,"139","0.00036856339820756218"
149,"53","0.00014053136766187623"
150,"40","0.00010606140955613300"
151,"59","0.00015644057909529618"
152,"74","0.00019621360767884605"
153,"289","0.00076629368404306093"
154,"615","0.00163069417192554489"
155,"160","0.00042424563822453200"
156,"51","0.00013522829718406958"
157,"42","0.00011136448003393965"
158,"38","0.00010075833907832635"
159,"108","0.00028636580580155910"
160,"200","0.00053030704778066501"
161,"731","0.00193827225963833059"
162,"175","0.00046401866680808188"
163,"42","0.00011136448003393965"
164,"38","0.00010075833907832635"
165,"49","0.00012992522670626293"
166,"87","0.00023068356578458928"
167,"237","0.00062841385162008803"
168,"704","0.00186668080818794082"
169,"139","0.00036856339820756218"
170,"56","0.00014848597337858620"
171,"28","0.000074242986689293100705"
172,"71","0.00018825900196213608"
173,"65","0.00017234979052871613"
174,"177","0.00046932173728588853"
175,"691","0.00183221085008219759"
176,"149","0.00039507875059659543"
177,"56","0.00014848597337858620"
178,"22","0.000058333775255873150554"
179,"44","0.00011666755051174630"
180,"109","0.00028901734104046243"
181,"287","0.00076099061356525428"
182,"716","0.00189849923105478072"
183,"217","0.00057538314684202153"
184,"55","0.00014583443813968288"
185,"40","0.00010606140955613300"
186,"40","0.00010606140955613300"
187,"55","0.00014583443813968288"
188,"186","0.00049318555443601845"
189,"635","0.00168372487670361139"
190,"131","0.00034735111629633558"
191,"41","0.00010871294479503633"
192,"27","0.000071591451450389775680"
193,"39","0.00010340987431722968"
194,"111","0.00029432041151826908"
195,"189","0.00050114016015272843"
196,"650","0.00172349790528716127"
197,"146","0.00038712414487988545"
198,"40","0.00010606140955613300"
199,"27","0.000071591451450389775680"
200,"28","0.000074242986689293100705"
201,"46","0.00012197062098955295"
202,"171","0.00045341252585246858"
203,"647","0.00171554329957045129"
204,"123","0.00032613883438510898"
205,"44","0.00011666755051174630"
206,"41","0.00010871294479503633"
207,"21","0.000055682240016969825529"
208,"55","0.00014583443813968288"
209,"194","0.00051439783634724505"
210,"608","0.00161213342525322162"
211,"115","0.00030492655247388238"
212,"28","0.000074242986689293100705"
213,"38","0.00010075833907832635"
214,"47","0.00012462215622845628"
215,"76","0.00020151667815665270"
216,"152","0.00040303335631330540"
217,"566","0.00150076894521928196"
218,"141","0.00037386646868536883"
219,"37","0.000098106803839423025932"
